Production_budget,Worldwide_gross
14000000.00,1000000.00
7000000.00,1000000.00
185000000.00,1000742751.00
800000.00,1001437.00
1300000.00,1005840.00
750000.00,1011535.00
200000000.00,1017003568.00
3000000.00,1022453.00
4500000.00,1022649.00
150000000.00,1023784195.00
200000000.00,1025363627.00
200000000.00,1025491110.00
115000000.00,1027044677.00
500000.00,1027228.00
4500000.00,1027760.00
225000.00,1032075.00
6500000.00,1033810.00
75000000.00,1034639202.00
1000000.00,1036.00
63000000.00,1045627627.00
379000000.00,1045663875.00
5000000.00,1050861.00
182000000.00,1050959216.00
10000000.00,1051907.00
200000000.00,1056057273.00
20000000.00,1065907.00
225000000.00,1066215812.00
10100000.00,1066555.00
200000000.00,1068879522.00
9000000.00,1069318.00
10000000.00,1069454.00
55000000.00,1072722593.00
200000000.00,1073394813.00
275000000.00,1073469600.00
5000000.00,1075009.00
2000000.00,1075504.00
12000000.00,1080362.00
7700000.00,1080428.00
230000000.00,1082228107.00
26000000.00,1083350.00
1000000.00,1087521.00
12500000.00,1100287.00
210000000.00,1104054072.00
15000000.00,1108775.00
225000.00,1109276.00
700000.00,1110511.00
200000000.00,1110526981.00
500000.00,1111615.00
94000000.00,1120224046.00
195000000.00,1123794079.00
1500000.00,1126258.00
160000000.00,1127597718.00
5500000.00,1128468.00
175000000.00,1129729839.00
500000.00,1131261.00
700000.00,1140965.00
160000000.00,1143966520.00
55000000.00,1147784.00
10000000.00,1147871.00
15000000.00,1148578.00
13000000.00,1152117.00
2000000.00,1152411.00
250000000.00,1153284349.00
1000000.00,1156309.00
250000.00,1157672.00
4000000.00,1158877.00
74000000.00,1159631140.00
700000.00,1160.00
200000.00,1161843.00
400000.00,1162014.00
10000000.00,1165102.00
200000.00,1165996.00
20000000.00,1167092.00
500000.00,1167524.00
3750000.00,1178175.00
1000000.00,1179462.00
12000000.00,1188194.00
25000000.00,1190003.00
18000000.00,1199510.00
4357373.00,1200000.00
12000000.00,1200346.00
200000000.00,1215392272.00
200000.00,1217.00
4500000.00,1217307.00
1000000.00,1227316.00
23000.00,1227508.00
10000000.00,1230542.00
15500000.00,1237615.00
250000000.00,1238764765.00
1000000.00,1239174.00
8000000.00,1241397.00
9000000.00,1242.00
200000000.00,1242805359.00
7000000.00,1246141.00
50000000.00,1250617.00
500000.00,1250798.00
160000000.00,1258954704.00
1400000.00,1261792.00
7000000.00,1268346.00
150000000.00,1268746174.00
2500000.00,1269705.00
1750000.00,1278471.00
1780000.00,1285876.00
6000000.00,1290920.00
450000.00,1297745.00
10000000.00,1299855.00
18000000.00,1305114.00
170000000.00,1308470988.00
780000.00,1310470.00
35000000.00,1320043.00
1800000.00,1322161.00
3000000.00,1324299.00
200000000.00,1332539889.00
2400000.00,1333891.00
12000.00,1336.00
5000.00,1338.00
125000000.00,1341653717.00
200000000.00,1346103376.00
500000.00,1348750.00
8500000.00,1353287.00
8300000.00,1353296.00
19000000.00,1353824.00
1000000.00,1355079.00
1100000.00,1355728.00
500000.00,1355967.00
100000.00,1358.00
6000000.00,1365108.00
250000.00,1366235.00
323000.00,1373407.00
13000000.00,1375635.00
2100000.00,1381824.00
850000.00,1386088.00
2500000.00,1392649.00
365000000.00,1396099202.00
3500000.00,1396395.00
15000000.00,1405032.00
12500000.00,1412799.00
25000000.00,1415656.00
300000.00,1416046.00
6000000.00,1418304.00
2400000.00,1420418.00
1000000.00,1425707.00
6000000.00,1427656.00
7000000.00,1429453.00
2000000.00,1433319.00
1100000.00,1436000.00
1900000.00,1445140.00
650000.00,1447.00
150000000.00,1447549711.00
16000000.00,1467278.00
1000000.00,1471090.00
1000000.00,1492895.00
35000000.00,1500000.00
4500000.00,1500000.00
825000.00,1500711.00
5000000.00,1504960.00
12000000.00,1513388.00
225000000.00,1515100211.00
190000000.00,1518722794.00
77500000.00,1521672.00
5000000.00,1526697.00
10000000.00,1537479.00
1500000.00,1541131.00
27000000.00,1545064.00
7000000.00,1545121.00
1000000.00,1549000.00
14000000.00,1553556.00
16000000.00,1573603.00
190000.00,1577585.00
36000000.00,1578543.00
15000000.00,1590246.00
12000000.00,1594955.00
400000.00,1600566.00
1500000.00,1605139.00
10400000.00,1610194.00
225000.00,1611592.00
12500000.00,1612957.00
1000000.00,1615787.00
10000000.00,1616353.00
18000000.00,1619153.00
1500000.00,1619602.00
560000.00,1626784.00
180000.00,1628579.00
1400000.00,1632.00
9000000.00,1635241.00
10000000.00,1638202.00
10000000.00,1641788.00
10000000.00,1642939.00
20000000.00,1646664.00
1300000.00,1649338.00
260000000.00,1656943394.00
15000000.00,1658706.00
2000000.00,1660865.00
7000000.00,1661464.00
2000000.00,1663296.00
40000000.00,1663785.00
215000000.00,1670400637.00
6000000.00,1673635.00
16000000.00,1685403.00
16000000.00,1686429.00
2500000.00,1687548.00
30000000.00,1692644.00
5200000.00,1695126.00
24000000.00,1696765.00
20000000.00,1703281.00
4700000.00,1705139.00
300000.00,1711.00
2000000.00,1720833.00
7000000.00,1732228.00
1200000.00,1733980.00
1300000.00,1738663.00
6500000.00,1744952.00
15500000.00,1757694.00
15000000.00,1768976.00
350000.00,1772979.00
500000.00,1778.00
12000000.00,1779284.00
312000.00,1788168.00
7500000.00,1788324.00
55000000.00,1807990.00
500000.00,1822.00
12000000.00,1828400.00
1500000.00,1840248.00
16000000.00,1844228.00
1000000.00,1849392.00
7000000.00,1857458.00
20000.00,1860.00
2000000.00,1869928.00
10000000.00,1884251.00
3000000.00,1887554.00
7000000.00,1891936.00
14000000.00,1903952.00
4000000.00,1919197.00
7000000.00,1933829.00
1400000.00,1945420.00
12000000.00,1950194.00
15000000.00,1953732.00
10000000.00,1953882.00
15000000.00,1954202.00
750000.00,1960521.00
15000000.00,1970268.00
500000.00,1971479.00
4000000.00,1983596.00
2000000.00,1985292.00
10000.00,1987.00
4000000.00,1989035.00
17000000.00,10000000.00
3000000.00,10000000.00
2500000.00,10000000.00
350000.00,10000000.00
672000.00,10000650.00
65000000.00,10014234.00
10000000.00,10019109.00
13000000.00,10020081.00
2000000.00,10024.00
12000000.00,10026255.00
1000000.00,10037390.00
25000000.00,10039566.00
3000000.00,10051516.00
15000000.00,10055481.00
7000000.00,10062896.00
29000000.00,10066366.00
40000000.00,10070651.00
4000000.00,10097096.00
6000000.00,10106975.00
21000000.00,10108016.00
12000000.00,10116816.00
20000000.00,10133882.00
1900000.00,10137234.00
10100000.00,10143618.00
2000000.00,10153415.00
6500000.00,10155691.00
35000000.00,10157534.00
4300000.00,10158355.00
3000000.00,10172519.00
9000000.00,10176701.00
5000000.00,10182050.00
8000000.00,10192613.00
5000000.00,10206551.00
4300000.00,10212403.00
10000000.00,10220614.00
38000000.00,10229300.00
7000000.00,10237229.00
100000.00,10243159.00
8000000.00,10245743.00
6000000.00,10278575.00
3500000.00,10317779.00
35000000.00,10319915.00
27000000.00,10341093.00
50000000.00,10359006.00
105000000.00,10364769.00
30000000.00,10383524.00
8500000.00,10386814.00
20000000.00,10393696.00
14000000.00,10397365.00
4500000.00,10400000.00
3000000.00,10400000.00
19000000.00,10412485.00
30000000.00,10419084.00
50000.00,10426506.00
11000000.00,10431506.00
24200000.00,10447579.00
20000000.00,10468867.00
3000000.00,10473836.00
700000.00,10508.00
1039000.00,10508632.00
15000000.00,10513979.00
300000.00,10514.00
5000000.00,10537341.00
90000000.00,10551417.00
20000000.00,10555348.00
6000000.00,10557291.00
50000000.00,10561038.00
20000000.00,10570375.00
10000000.00,10571408.00
20000000.00,10588079.00
60000000.00,10597070.00
5000000.00,10599971.00
4500000.00,10609321.00
27000000.00,10618813.00
6000000.00,10619770.00
8000000.00,10629320.00
17000000.00,10637281.00
9000000.00,10642023.00
23000000.00,10660147.00
2000000.00,10672492.00
34000000.00,10672566.00
5000000.00,10676073.00
2000000.00,10679.00
20000000.00,10686841.00
22000000.00,10696210.00
40000000.00,10717421.00
12500000.00,10725228.00
5000000.00,10727536.00
25000000.00,10731997.00
5000000.00,10732909.00
5000000.00,10751126.00
8000000.00,10763183.00
15000000.00,10763469.00
7000000.00,10765283.00
3180000.00,10768908.00
4000000.00,10770993.00
7000000.00,10803211.00
1200000.00,10827356.00
7000000.00,10828305.00
7500000.00,10834406.00
15000000.00,10845127.00
7500000.00,10849158.00
300000.00,10876.00
4000000.00,10898293.00
4000000.00,10941801.00
15000000.00,10951153.00
37000000.00,100003780.00
60000000.00,100230832.00
2500000.00,100280.00
5000000.00,100486616.00
41000000.00,100622586.00
8000000.00,100642353.00
60000000.00,100645801.00
58000000.00,100687083.00
46000000.00,100833145.00
65000000.00,100834490.00
12000000.00,100916299.00
58000000.00,100929666.00
1000000.00,101053.00
60000000.00,101134059.00
40000000.00,101162106.00
7303082.00,101173038.00
80000000.00,101371017.00
28000000.00,101379287.00
60000000.00,101382396.00
1000000.00,101531.00
19000000.00,101564935.00
64000000.00,101636047.00
4200000.00,101740.00
1000000.00,101759490.00
3000000.00,101773.00
25000000.00,101850986.00
37000000.00,101857425.00
77500000.00,102028919.00
20000000.00,102034104.00
28000000.00,102053581.00
35000000.00,102115888.00
36000000.00,102226631.00
23600000.00,102236596.00
6000000.00,102295122.00
31000000.00,102306500.00
6000000.00,102310653.00
39000000.00,102332135.00
60000000.00,102332848.00
26000000.00,102404019.00
2000000.00,102645.00
30000000.00,102716321.00
45000000.00,102746214.00
1000000.00,102812.00
47000000.00,102825796.00
14000000.00,102836002.00
18000000.00,102912961.00
25000000.00,102992536.00
12000000.00,103028188.00
100000000.00,103039258.00
29000000.00,103113446.00
18000000.00,103215094.00
30000000.00,103284813.00
5000000.00,103300632.00
40000000.00,103429755.00
28000000.00,103452875.00
30000.00,103509.00
70000000.00,103735965.00
35000000.00,103787401.00
1200000.00,103880027.00
73000000.00,103891409.00
60000000.00,104100903.00
10000000.00,104223315.00
65000000.00,104264617.00
60000000.00,104324083.00
57000000.00,104364680.00
40000000.00,104407366.00
60000000.00,104429625.00
50000000.00,104488383.00
16000000.00,104504817.00
45000000.00,104505362.00
95000000.00,104907746.00
49000000.00,105002056.00
88000000.00,105021488.00
11500000.00,105078449.00
50000000.00,105103784.00
28000000.00,105159085.00
30000000.00,105173042.00
80000000.00,105299638.00
2000000.00,105377.00
60000000.00,105703325.00
38000000.00,105887837.00
40000000.00,105945357.00
90000000.00,106000000.00
30000000.00,106030660.00
31000000.00,106282604.00
10000000.00,106460.00
40000000.00,106511453.00
80000000.00,106515310.00
40000000.00,106548738.00
7500000.00,106593296.00
30000000.00,107054484.00
53012938.00,107190108.00
120000000.00,107212751.00
12000000.00,107217396.00
125000000.00,107387069.00
1000000.00,107590.00
38000000.00,107650646.00
48000000.00,107752036.00
62000000.00,107822813.00
9000000.00,107967319.00
78000000.00,108086731.00
60000000.00,108119662.00
15000000.00,108286422.00
80000000.00,108469033.00
75000000.00,108517735.00
50000000.00,108660270.00
35000000.00,108757621.00
95000000.00,108874967.00
2500000.00,108907.00
30000000.00,108957098.00
60000000.00,108996113.00
4400000.00,108997629.00
18500000.00,109175673.00
5000000.00,109252972.00
72500000.00,109362966.00
10000000.00,109383.00
13000000.00,109421911.00
4000000.00,109492484.00
21000000.00,109501146.00
17000000.00,109793192.00
17500000.00,109843390.00
53000000.00,109848461.00
20000000.00,109862682.00
4638783.00,11000000.00
2300000.00,11000000.00
1250000.00,11000000.00
110000.00,11000000.00
5000000.00,11014961.00
5000000.00,11017403.00
47000000.00,11022696.00
3000000.00,11052713.00
25000000.00,11100000.00
25000000.00,11115766.00
4000000.00,11131455.00
13000000.00,11141213.00
15000000.00,11156471.00
14000000.00,11166615.00
15000000.00,11173718.00
3400000.00,11182908.00
1500000.00,11191423.00
45000000.00,11203026.00
2000000.00,11217346.00
3000000.00,11218621.00
25000000.00,11229035.00
30000000.00,11247280.00
25000000.00,11253821.00
2000000.00,11263263.00
34000000.00,11263966.00
12500000.00,11277119.00
15000000.00,11279884.00
2000000.00,11295324.00
9900000.00,11310835.00
3000000.00,11322573.00
6000000.00,11348205.00
14000000.00,11354230.00
10000000.00,11360665.00
10000000.00,11400000.00
60000000.00,11427090.00
1000000.00,11495204.00
55000000.00,11532774.00
3000000.00,11537539.00
16000000.00,11540112.00
10000000.00,11546543.00
35000000.00,11559747.00
1000000.00,11574.00
30000000.00,11578022.00
30000000.00,11598474.00
15000000.00,11599903.00
25000000.00,11603545.00
15000000.00,11614954.00
5200000.00,11633427.00
17000000.00,11634458.00
6000000.00,11642254.00
24000000.00,11723620.00
13500000.00,11732088.00
13700000.00,11738256.00
20000000.00,11744960.00
6500000.00,11745931.00
4000000.00,11757.00
7500000.00,11758418.00
10000000.00,11766959.00
700000.00,11768371.00
4500000.00,11774.00
23000000.00,11778396.00
6000000.00,11784569.00
5000000.00,11792942.00
4000000.00,11799060.00
1500000.00,11806119.00
16000000.00,11810854.00
18000000.00,11813989.00
12500000.00,11826980.00
13000000.00,11831131.00
7500000.00,11843260.00
35000000.00,11846010.00
11000000.00,11862650.00
10000000.00,11894.00
10000000.00,11924041.00
4000000.00,11972561.00
900000.00,11993156.00
55000000.00,110387072.00
52000000.00,110400000.00
22000000.00,110521733.00
100000.00,110536.00
150000.00,110719.00
12000000.00,110989157.00
20000000.00,111156801.00
50000000.00,111300835.00
38000000.00,111336398.00
20000000.00,111448997.00
9000000.00,111534881.00
9500000.00,111600000.00
22000000.00,111800189.00
35000000.00,111854182.00
60000000.00,111898741.00
45000000.00,112006296.00
11000000.00,112036323.00
23000000.00,112036870.00
47500000.00,112214531.00
48000000.00,112610386.00
25000000.00,112798051.00
28000000.00,112914167.00
40000000.00,112930957.00
32500000.00,112964875.00
85000000.00,113026383.00
1500000.00,113169.00
50000000.00,113309743.00
80000000.00,113325743.00
35000000.00,113354449.00
12000000.00,113373764.00
46000000.00,113402302.00
45000000.00,113417762.00
1000000.00,113433.00
60000000.00,113461527.00
85000000.00,113487912.00
68000000.00,113542091.00
46000000.00,113622499.00
3500000.00,113783.00
55000000.00,113805580.00
45000000.00,113916474.00
25000000.00,114576403.00
70000000.00,114658262.00
30000000.00,114770654.00
40000000.00,114830111.00
35000000.00,114962525.00
30250000.00,115021008.00
25000000.00,115036108.00
45000000.00,115097874.00
100000000.00,115115984.00
30000000.00,115121608.00
30000000.00,115150424.00
15000.00,115592.00
14000000.00,115592104.00
3000000.00,115879.00
7200000.00,116000000.00
30000000.00,116025023.00
17000000.00,116044347.00
35000000.00,116177695.00
70000000.00,116625798.00
47000000.00,116773317.00
38000000.00,116809717.00
32000000.00,116898028.00
4000000.00,117085297.00
50000000.00,117211892.00
37000000.00,117378084.00
49000000.00,117419117.00
38000000.00,117425156.00
36000000.00,117448157.00
45000000.00,117615211.00
